Order Date,Product Name,Quantity
12/09/2017,Safco Commercial Shelving,1
12/09/2017,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",3
12/28/2017,Adjustable Depth Letter/Legal Cart,4
7/30/2015,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,7
7/30/2015,Regeneration Desk Collection,3
7/30/2015,Presstex Flexible Ring Binders,3
9/16/2017,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",2
9/16/2017,Newell 330,1
10/13/2017,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",2
10/13/2017,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",4
10/13/2017,Eldon Simplefile Box Office,6
10/13/2017,Avery 489,3
9/26/2015,Round Ring Binders,5
9/26/2015,Bose SoundLink Bluetooth Speaker,7
11/02/2015,"Bevis Round Bullnose 29"" High Table Top",5
9/26/2015,Easy-staple paper,5
9/26/2015,Microsoft Arc Touch Mouse,5
9/26/2015,Xerox 216,6
12/18/2016,GBC VeloBinder Electric Binding Machine,7
12/18/2016,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2
12/18/2016,Premier Automatic Letter Opener,5
11/20/2016,Advantus SlideClip Paper Clips,7
11/20/2016,Avery 512,8
11/20/2016,Logitech Wireless Gaming Headset G930,2
11/20/2016,"Bush Westfield Collection Bookcases, Medium Cherry Finish",3
12/26/2014,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",8
12/26/2014,Global Deluxe Office Fabric Chairs,3
12/26/2014,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,3
12/26/2014,Ibico Laser Imprintable Binding System Covers,5
12/26/2014,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",3
10/28/2016,Xerox 223,5
10/28/2016,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",8
10/28/2016,Xerox 1939,3
10/28/2016,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",4
10/28/2016,Avery Premier Heavy-Duty Binder with Round Locking Rings,1
11/19/2017,BPI Conference Tables,3
05/04/2015,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,2
12/30/2014,Newell 350,3
06/01/2014,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",3
06/01/2014,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,6
4/15/2017,Faber Castell Col-Erase Pencils,1
09/12/2016,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,4
09/12/2016,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2
09/12/2016,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",1
09/12/2016,Avery 509,3
9/27/2014,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",3
08/09/2014,AT&T 1070 Corded Phone,2
08/09/2014,Xerox 21,3
12/28/2014,"Boston School Pro Electric Pencil Sharpener, 1670",4
11/04/2014,DMI Arturo Collection Mission-style Design Wood Chair,1
11/04/2014,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,2
11/04/2014,Panasonic Kx-TS550,6
11/04/2014,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,4
11/04/2014,"Trav-L-File Heavy-Duty Shuttle II, Black",1
9/19/2014,OIC Binder Clips,2
4/23/2016,Ibico Laser Imprintable Binding System Covers,6
4/23/2016,Logitech Wireless Headset h800,1
11/03/2017,Telescoping Adjustable Floor Lamp,1
8/30/2016,Aastra 57i VoIP phone,3
8/30/2016,"File Shuttle II and Handi-File, Black",2
8/30/2016,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,4
8/30/2016,Round Specialty Laser Printer Labels,10
8/30/2016,GBC Premium Transparent Covers with Diagonal Lined Pattern,6
4/25/2016,AT&T 841000 Phone,2
4/25/2016,Ibico Recycled Grain-Textured Covers,2
4/25/2016,Wilson Jones Custom Binder Spines & Labels,3
09/01/2015,Storex Dura Pro Binders,1
09/01/2015,Hewlett Packard LaserJet 3310 Copier,2
09/01/2015,Avery Non-Stick Binders,4
07/12/2014,Tuff Stuff Recycled Round Ring Binders,2
07/12/2014,Hon 5100 Series Wood Tables,3
6/22/2015,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4
4/13/2014,Newell 314,4
4/13/2014,Fellowes PB200 Plastic Comb Binding Machine,10
4/13/2014,Staples,13
4/13/2014,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",12
12/20/2015,Fellowes Super Stor/Drawer,4
6/15/2017,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,3
07/08/2017,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",3
07/08/2017,Easy-staple paper,2
07/08/2017,"BIC Brite Liner Highlighters, Chisel Tip",2
09/01/2016,Sabrent 4-Port USB 2.0 Hub,1
09/01/2016,Xerox 1881,2
09/01/2016,Acco Hanging Data Binders,1
09/01/2016,Xerox 1881,4
09/01/2016,GBC DocuBind P400 Electric Binding System,4
04/08/2016,Sauder Barrister Bookcases,6
04/08/2016,"#10 Gummed Flap White Envelopes, 100/Box",2
04/08/2016,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",4
04/08/2016,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",5
4/23/2016,Southworth 25% Cotton Linen-Finish Paper & Envelopes,5
03/08/2017,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,8
03/08/2017,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",2
9/25/2017,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",2
9/25/2017,Global Ergonomic Managers Chair,3
9/25/2017,Newell 333,2
9/25/2017,Eldon Wave Desk Accessories,8
9/24/2014,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
10/21/2016,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,4
10/21/2016,Staple remover,2
10/21/2016,Pizazz Global Quick File,7
10/21/2016,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4
5/29/2017,Xerox 1930,5
5/29/2017,File Shuttle I and Handi-File,3
7/23/2014,Wilson Jones Custom Binder Spines & Labels,5
7/23/2014,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,8
7/23/2014,Newell 324,1
7/23/2014,Microsoft Natural Keyboard Elite,10
9/28/2016,Xerox 1960,4
8/27/2017,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",7
4/28/2015,Holmes Odor Grabber,3
4/28/2015,Akro-Mils 12-Gallon Tote,3
4/28/2015,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",4
10/28/2016,Southworth Structures Collection,7
10/28/2016,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",3
6/26/2015,Sony 32GB Class 10 Micro SDHC R40 Memory Card,2
11/27/2015,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",3
11/27/2015,Logitech Media Keyboard K200,3
12/03/2015,Lexmark MarkNet N8150 Wireless Print Server,4
12/03/2015,3M Hangers With Command Adhesive,1
11/24/2014,Crayola Colored Pencils,1
12/11/2017,"Angle-D Binders with Locking Rings, Label Holders",4
12/11/2017,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,2
9/21/2014,Nortel Meridian M3904 Professional Digital phone,2
9/21/2014,Canon PC1080F Personal Copier,3
06/07/2014,Wilson Jones Century Plastic Molded Ring Binders,3
6/30/2017,Tuf-Vin Binders,3
10/17/2017,2300 Heavy-Duty Transfer File Systems by Perma,2
10/17/2017,Xerox 1958,2
10/31/2015,"Acme 10"" Easy Grip Assistive Scissors",4
09/08/2016,Super Decoflex Portable Personal File,3
09/08/2016,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4
09/08/2016,"Contico 72""H Heavy-Duty Storage System",4
09/08/2016,Sony 64GB Class 10 Micro SDHC R40 Memory Card,2
12/24/2014,Xerox 1974,2
4/16/2014,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",6
12/24/2017,Staple holder,3
12/08/2017,Sony 64GB Class 10 Micro SDHC R40 Memory Card,5
12/08/2017,Sharp AL-1530CS Digital Copier,3
12/08/2017,"Wirebound Message Book, 4 per Page",5
12/08/2017,"Bevis Round Conference Table Top, X-Base",7
12/08/2017,"Wirebound Service Call Books, 5 1/2"" x 4""",1
12/08/2017,Self-Adhesive Removable Labels,9
12/08/2017,Xerox 1908,1
12/08/2017,O'Sullivan 4-Shelf Bookcase in Odessa Pine,13
12/08/2017,Novimex High-Tech Fabric Mesh Task Chair,2
11/03/2017,Xerox 191,7
11/03/2017,Global Deluxe Office Fabric Chairs,4
6/24/2017,Bulldog Vacuum Base Pencil Sharpener,8
4/14/2016,Bevis Steel Folding Chairs,5
11/06/2017,Xerox 1987,1
03/04/2017,American Pencil,4
03/04/2017,"White Envelopes, White Envelopes with Clear Poly Window",1
6/22/2014,KeyTronic 6101 Series - Keyboard - Black,6
10/19/2017,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",4
10/19/2017,Crate-A-Files,3
8/21/2017,Hon Multipurpose Stacking Arm Chairs,4
11/23/2017,Coloredge Poster Frame,2
11/23/2017,GBC VeloBinder Manual Binding System,8
09/12/2014,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",1
10/01/2017,Design Ebony Sketching Pencil,6
4/15/2016,GBC ProClick 150 Presentation Binding System,2
4/15/2016,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,7
4/15/2016,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,5
4/15/2016,Woodgrain Magazine Files by Perma,2
06/06/2016,Letter Size Cart,5
12/19/2014,Insertable Tab Post Binder Dividers,2
12/19/2014,Belkin QODE FastFit Bluetooth Keyboard,5
06/12/2016,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",3
06/12/2016,Xerox 1908,7
9/15/2017,Xerox 1897,8
1/20/2017,Global Deluxe Steno Chair,3
09/05/2016,Aluminum Document Frame,1
09/05/2016,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,3
09/05/2016,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,3
09/05/2016,"Xerox Color Copier Paper, 11"" x 17"", Ream",4
09/05/2016,Office Star - Ergonomically Designed Knee Chair,3
09/05/2016,Avery 520,7
3/20/2017,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",1
04/01/2016,Newell 345,3
04/01/2016,Fellowes Bankers Box Recycled Super Stor/Drawer,3
04/01/2016,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,6
04/01/2016,50 Colored Long Pencils,3
04/01/2016,Newell 342,3
